  0.1000D+00  0.1000D-06
  0.0000  0.0000  0.0000
 15.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.214000000   0.214000000   0.284000000
   0.007500000   0.007500000   0.010000000
   0.199715498   0.192818611   0.266040589
   0.018000000   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500000   0.001500000   0.001500000
   0.002753777   0.002500596   0.003000715
   0.001146223   0.000749404   0.000899285
   0.007500000   0.012500000   0.020000000
   0.000030791   0.000030841   0.000058744
   0.002869209   0.002069159   0.003941256
