  0.1000D+00  0.3414D-07
 -0.3548  0.0000  0.0000
 15.0000  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.316408109   0.284000000   0.284000000
   0.018907397   0.020000000   0.010000000
   0.284850023   0.280967159   0.266040589
   0.035807792   0.025000000   0.025000000
   0.000004412   0.000004412   0.000004412
   0.001500079   0.001500000   0.001500000
   0.008464060   0.003000715   0.003000715
   0.001771074   0.000899285   0.000899285
   0.451928346   0.500000000   0.020000000
   0.000086274   0.000132174   0.000058744
   0.004041470   0.008867826   0.003941256
